5_ADMINISTRATIVE DATA_Security Classification,10_ADMINISTRATIVE DATA_Type of Action,102_ADMINISTRATIVE DATA_Agency Serial Number,103_ADMINISTRATIVE DATA_IRAC Docket Number,107_ADMINISTRATIVE DATA_Authorization Date,110_EMISSION CHARACTERISTICS_Frequency(ies)__freq,110_EMISSION CHARACTERISTICS_Frequency(ies)__band,110_EMISSION CHARACTERISTICS_Frequency(ies),113_EMISSION CHARACTERISTICS_Station Class,114_EMISSION CHARACTERISTICS_Emission Designator,115_EMISSION CHARACTERISTICS_Transmitter Power,116_EMISSION CHARACTERISTICS_Power Type,117_EMISSION CHARACTERISTICS_Effective Radiated Power,118_EMISSION CHARACTERISTICS_Power/ERP Augmentation,130_TIME/DATE INFORMATION_Time,140_TIME/DATE INFORMATION_Required Date,141_TIME/DATE INFORMATION_Expiration Date,142_TIME/DATE INFORMATION_Review Date,143_TIME/DATE INFORMATION_Revision Date,144_TIME/DATE INFORMATION_Approval Authority Indicator,147_TIME/DATE INFORMATION_Joint Agencies,200_ORGANIZATIONAL INFORMATION_Agency,201_ORGANIZATIONAL INFORMATION_Unified Command,202_ORGANIZATIONAL INFORMATION_Unified Command Service,203_ORGANIZATIONAL INFORMATION_Bureau,204_ORGANIZATIONAL INFORMATION_Command,205_ORGANIZATIONAL INFORMATION_Subcommand,206_ORGANIZATIONAL INFORMATION_InstallationManager   Frequency,207_ORGANIZATIONAL INFORMATION_Operating Unit,208_ORGANIZATIONAL INFORMATION_User Net/Code,209_ORGANIZATIONAL INFORMATION_AreaOtherAFC/DoDOrganizationsAFC,300_TRANSMITTER LOCATION DATA_State/Country,301_TRANSMITTER LOCATION DATA_Antenna Location,302_TRANSMITTER LOCATION DATA_Station Control,303_TRANSMITTER LOCATION DATA_Antenna Coordinates__ll,303_TRANSMITTER LOCATION DATA_Antenna Coordinates,304_TRANSMITTER LOCATION DATA_Call Sign,306_TRANSMITTER LOCATION DATA_Authorized Radius,340_TRANSMITTER EQUIPMENT_Equipment Nomenclature,"341_TRANSMITTER EQUIPMENT_NumberName   of Stations, System",342_TRANSMITTER EQUIPMENT_Aircraft Nautical Mile Value,343_TRANSMITTER EQUIPMENT_EquipmentIdentificationCertificationNumber,345_TRANSMITTER EQUIPMENT_Radar Tunability,346_TRANSMITTER EQUIPMENT_Pulse Duration,347_TRANSMITTER EQUIPMENT_Pulse Repetition Rate,349_TRANSMITTER ANTENNA DATA_Sidelobe Suppression,354_TRANSMITTER ANTENNA DATA_,355_TRANSMITTER ANTENNA DATA_Antenna Structure Nomenclature,356_TRANSMITTER ANTENNA DATA_Antenna Structure Height,357_TRANSMITTER ANTENNA DATA_Antenna Gain,358_TRANSMITTER ANTENNA DATA_Antenna Elevation,359_TRANSMITTER ANTENNA DATA_Antenna Feedpoint Height,360_TRANSMITTER ANTENNA DATA_Antenna Horizontal Beamwidth,361_TRANSMITTER ANTENNA DATA_Antenna Vertical Beamwidth,362_TRANSMITTER ANTENNA DATA_Antenna Orientation,373_TRANSMITTER ANTENNA DATA_JSC Area Code,400_RECEIVER LOCATION DATA_State/Country,401_RECEIVER LOCATION DATA_Antenna Location,402_RECEIVER LOCATION DATA_Receiver Control,403_RECEIVER LOCATION DATA_Antenna Coordinates,403_RECEIVER LOCATION DATA_Antenna Coordinates__ll,404_RECEIVER LOCATION DATA_Call Sign,406_RECEIVER LOCATION DATA_Authorized Radius,440_RECEIVER EQUIPMENT_Equipment Nomenclature,442_RECEIVER EQUIPMENT_Aircraft Nautical Mile Value,443_RECEIVER EQUIPMENT_EquipmentIdentificationCertificationNumber,454_RECEIVER ANTENNA DATA_Antenna Name,455_RECEIVER ANTENNA DATA_Antenna Nomenclature,456_RECEIVER ANTENNA DATA_Antenna Structure Height,457_RECEIVER ANTENNA DATA_Antenna Gain,458_RECEIVER ANTENNA DATA_Antenna Elevation,459_RECEIVER ANTENNA DATA_Antenna Feedpoint Height,460_RECEIVER ANTENNA DATA_Antenna Horizontal Beamwidth,461_RECEIVER ANTENNA DATA_Antenna Vertical Beamwidth,462_RECEIVER ANTENNA DATA_Antenna Orientation,463_RECEIVER ANTENNA DATA_Antenna Polarization,473_RECEIVER ANTENNA DATA_JSC Area Code,500_SUPPLEMENTARY DETAILS_IRAC Notes,501_SUPPLEMENTARY DETAILS_Notes free-text Comments,502_SUPPLEMENTARY DETAILS_Description of Requirement,503_SUPPLEMENTARY DETAILS_Agency Free-text Comments,506_DataNumberSFAFItem_Paired Frequency,511_DataNumberSFAFItem_Major Function Identifier,512_DataNumberSFAFItem_Intermediate Function Identifier,513_DataNumberSFAFItem_Detailed Function Identifier,520_DataNumberSFAFItem_Supplementary Details,701_OTHER ASSIGNMENT IDENTIFIERS_Frequency Action Officer,702_OTHER ASSIGNMENT IDENTIFIERS_Control/Request Number,803_ADDITIONAL INFORMATION_Requestor Data,901_ADDITIONAL INFORMATION_Record Status,911_ADDITIONAL INFORMATION_Date of Last Transaction,924_ADDITIONAL INFORMATION_Data Source Indicator,927_ADDITIONAL INFORMATION_Date of Entry,928_ADDITIONAL INFORMATION_Date of Receipt,956_ADDITIONAL INFORMATION_Agency Action Number,958_ADDITIONAL INFORMATION_Routine Agenda Item,963_ADDITIONAL INFORMATION_FCC File Number
UA ,N ,FCC 0D3F79 ,,20020101,853.6125,,M853.6125 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['56.99 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F7A ,,20020101,853.7375,,M853.7375 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['56.99 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F7B ,,20020101,853.8875,,M853.8875 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['56.99 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F7D ,,20020101,854.5375,,M854.5375 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['53.98 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F7C ,,20020101,853.9125,,M853.9125 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F7E ,,20020101,854.5625,,M854.5625 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['53.98 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F7F ,,20020101,854.5875,,M854.5875 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['53.98 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F80 ,,20020101,,"806.0, 821.0",M806-M821 ,['MO '],['20K0F3E '],['W100.00000 '],,['50.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,113T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 250D67 ,,20140304,855.0875,,M855.0875 ,"['FB2C ', 'FB2C ', 'FB2C ']","['20K0F2D ', '20K0F3E ', '20K0W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['50.97 ', '50.97 ', '50.97 ']",,,20140304,20240310,,20140719,,,FCC ,,,YX ,,,,,,,DE ,MAGNOLIA ,,"39.071666666666665,-75.47555555555556",390418N0752832W ,WPZT552 ,,,,,,,,,,,,['25.3 '],,['7.9 '],['20.4 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,2600531
UA ,N ,FCC 250D68 ,,20140304,857.9125,,M857.9125 ,"['FB2C ', 'FB2C ', 'FB2C ']","['20K0F2D ', '20K0F3E ', '20K0W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['56.99 ', '56.99 ', '56.99 ']",,,20140304,20240310,,20140719,,,FCC ,,,YX ,,,,,,,DE ,MAGNOLIA ,,"39.071666666666665,-75.47555555555556",390418N0752832W ,WPZT552 ,,,,,,,,,,,,['25.3 '],,['7.9 '],['20.4 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,2600531
UA ,N ,FCC 250D69 ,,20140304,859.8125,,M859.8125 ,"['FB2C ', 'FB2C ', 'FB2C ']","['20K0F2D ', '20K0F3E ', '20K0W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['60.00 ', '60.00 ', '60.00 ']",,,20140304,20240310,,20140719,,,FCC ,,,YX ,,,,,,,DE ,MAGNOLIA ,,"39.071666666666665,-75.47555555555556",390418N0752832W ,WPZT552 ,,,,,,,,,,,,['25.3 '],,['7.9 '],['20.4 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,2600531
UA ,N ,FCC 250D6A ,,20140304,,"806.0, 821.0",M806-M821 ,"['MO ', 'MO ', 'MO ']","['20K0F2D ', '20K0F3E ', '20K0W7W ']","['W100.00000 ', 'W100.00000 ', 'W100.00000 ']",,"['50.00 ', '50.00 ', '50.00 ']",,,20140304,20240310,,20140719,,,FCC ,,,YX ,,,,,,,DE ,MAGNOLIA ,,"39.071666666666665,-75.47555555555556",390418N0752832W ,WPZT552 ,113T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,2600531
UA ,N ,FCC 6F2AD2 ,,20170628,854.6375,,M854.6375 ,"['FB2 ', 'FB2 ', 'FB2 ']","['11K2F3E ', '7K60FXD ', '7K60FXE ']","['W75.00000 ', 'W75.00000 ', 'W75.00000 ']",,"['49.65 ', '49.65 ', '49.65 ']",,,20170628,20270628,,20190312,,,FCC ,,,GE ,,,,,,,DE ,DOVER ,,"39.15138888888889,-75.52361111111111",390905N0753125W ,WQZP689 ,,,,,,,,,,,,['38 '],,['8 '],['40 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYHEALTH MEDICAL CENTER ,A ,20190916,FCC ,20190916,,,,3935288
UA ,N ,FCC 6F2AD1 ,,20170628,854.3875,,M854.3875 ,"['FB2 ', 'FB2 ', 'FB2 ']","['11K2F3E ', '7K60FXD ', '7K60FXE ']","['W75.00000 ', 'W75.00000 ', 'W75.00000 ']",,"['49.65 ', '49.65 ', '49.65 ']",,,20170628,20270628,,20190312,,,FCC ,,,GE ,,,,,,,DE ,DOVER ,,"39.15138888888889,-75.52361111111111",390905N0753125W ,WQZP689 ,,,,,,,,,,,,['38 '],,['8 '],['40 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYHEALTH MEDICAL CENTER ,A ,20190916,FCC ,20190916,,,,3935288
UA ,N ,FCC 6F2AD3 ,,20170628,809.3875,,M809.3875 ,"['MO ', 'MO ', 'MO ']","['11K2F3E ', '7K60FXD ', '7K60FXE ']","['W3.00000 ', 'W3.00000 ', 'W3.00000 ']",,"['34.77 ', '34.77 ', '34.77 ']",,,20170628,20270628,,20190312,,,FCC ,,,GE ,,,,,,,DE ,DOVER ,,"39.15138888888889,-75.52361111111111",390905N0753125W ,WQZP689 ,32T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYHEALTH MEDICAL CENTER ,A ,20190916,FCC ,20190916,,,,3935288
UA ,N ,FCC 6F2AD4 ,,20170628,809.6375,,M809.6375 ,"['MO ', 'MO ', 'MO ']","['11K2F3E ', '7K60FXD ', '7K60FXE ']","['W3.00000 ', 'W3.00000 ', 'W3.00000 ']",,"['34.77 ', '34.77 ', '34.77 ']",,,20170628,20270628,,20190312,,,FCC ,,,GE ,,,,,,,DE ,DOVER ,,"39.15138888888889,-75.52361111111111",390905N0753125W ,WQZP689 ,32T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYHEALTH MEDICAL CENTER ,A ,20190916,FCC ,20190916,,,,3935288
UA ,N ,FCC 6F2AD6 ,,20170628,854.6375,,M854.6375 ,"['MO ', 'MO ', 'MO ']","['11K2F3E ', '7K60FXD ', '7K60FXE ']","['W3.00000 ', 'W3.00000 ', 'W3.00000 ']",,"['34.77 ', '34.77 ', '34.77 ']",,,20170628,20270628,,20190312,,,FCC ,,,GE ,,,,,,,DE ,DOVER ,,"39.15138888888889,-75.52361111111111",390905N0753125W ,WQZP689 ,32T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYHEALTH MEDICAL CENTER ,A ,20190916,FCC ,20190916,,,,3935288
UA ,N ,FCC 6F2AD5 ,,20170628,854.3875,,M854.3875 ,"['MO ', 'MO ', 'MO ']","['11K2F3E ', '7K60FXD ', '7K60FXE ']","['W3.00000 ', 'W3.00000 ', 'W3.00000 ']",,"['34.77 ', '34.77 ', '34.77 ']",,,20170628,20270628,,20190312,,,FCC ,,,GE ,,,,,,,DE ,DOVER ,,"39.15138888888889,-75.52361111111111",390905N0753125W ,WQZP689 ,32T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYHEALTH MEDICAL CENTER ,A ,20190916,FCC ,20190916,,,,3935288
UA ,N ,FCC 0204EE ,,20100928,,"824.04, 834.99",M824.04-M834.99 ,,,,,['51.49 '],,,20180831,20201001,,20180831,,,FCC ,,,CL ,,,,,,,DE ,Dover ,,"39.143055555555556,-75.47583333333333",390835N0752833W ,KNKN720 ,,,,,,,,,,,,"['44.5 ', '44.5 ', '44.5 ']",,"['7.3 ', '7.3 ', '7.3 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW CINGULAR WIRELESS PCS, LLC ",A ,20190916,FCC ,20190916,,,,13018
UA ,N ,FCC 0204EF ,,20100928,,"845.01, 846.48",M845.01-M846.48 ,,,,,['51.49 '],,,20180831,20201001,,20180831,,,FCC ,,,CL ,,,,,,,DE ,Dover ,,"39.143055555555556,-75.47583333333333",390835N0752833W ,KNKN720 ,,,,,,,,,,,,"['44.5 ', '44.5 ', '44.5 ']",,"['7.3 ', '7.3 ', '7.3 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW CINGULAR WIRELESS PCS, LLC ",A ,20190916,FCC ,20190916,,,,13018
UA ,N ,FCC 0204F0 ,,20100928,,"869.04, 879.99",M869.04-M879.99 ,,,,,['51.49 '],,,20180831,20201001,,20180831,,,FCC ,,,CL ,,,,,,,DE ,Dover ,,"39.143055555555556,-75.47583333333333",390835N0752833W ,KNKN720 ,,,,,,,,,,,,"['44.5 ', '44.5 ', '44.5 ']",,"['7.3 ', '7.3 ', '7.3 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW CINGULAR WIRELESS PCS, LLC ",A ,20190916,FCC ,20190916,,,,13018
UA ,N ,FCC 0204F1 ,,20100928,,"890.01, 891.48",M890.01-M891.48 ,,,,,['51.49 '],,,20180831,20201001,,20180831,,,FCC ,,,CL ,,,,,,,DE ,Dover ,,"39.143055555555556,-75.47583333333333",390835N0752833W ,KNKN720 ,,,,,,,,,,,,"['44.5 ', '44.5 ', '44.5 ']",,"['7.3 ', '7.3 ', '7.3 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW CINGULAR WIRELESS PCS, LLC ",A ,20190916,FCC ,20190916,,,,13018
UA ,N ,FCC 133AEB ,,20100209,855.9375,,M855.9375 ,"['FB2C ', 'FB2C ', 'FB2C ']","['20K0F2D ', '20K0F3E ', '20K0W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['48.86 ', '48.86 ', '48.86 ']",,,20140118,20200203,,20140719,,,FCC ,,,YX ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WPPQ703 ,,,,,,,,,,,,['43 '],,['9 '],['41 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1163890
UA ,N ,FCC 133AEC ,,20100209,857.9125,,M857.9125 ,"['FB2C ', 'FB2C ', 'FB2C ']","['20K0F2D ', '20K0F3E ', '20K0W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['56.99 ', '56.99 ', '56.99 ']",,,20140118,20200203,,20140719,,,FCC ,,,YX ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WPPQ703 ,,,,,,,,,,,,['43 '],,['9 '],['41 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1163890
UA ,N ,FCC 133AED ,,20100209,859.5375,,M859.5375 ,"['FB2C ', 'FB2C ', 'FB2C ']","['20K0F2D ', '20K0F3E ', '20K0W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['60.00 ', '60.00 ', '60.00 ']",,,20140118,20200203,,20140719,,,FCC ,,,YX ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WPPQ703 ,,,,,,,,,,,,['43 '],,['9 '],['41 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1163890
UA ,N ,FCC 133AEE ,,20100209,,"806.0, 821.0",M806-M821 ,"['MO ', 'MO ', 'MO ']","['20K0F2D ', '20K0F3E ', '20K0W7W ']","['W100.00000 ', 'W100.00000 ', 'W100.00000 ']",,"['50.00 ', '50.00 ', '50.00 ']",,,20140118,20200203,,20140719,,,FCC ,,,YX ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WPPQ703 ,113T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1163890
UA ,N ,FCC 2668AC ,,20071025,935.7375,,M935.7375 ,"['FB2C ', 'FB2C ', 'FB2C ']","['13K6F2D ', '13K6F3E ', '13K6W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['40.00 ', '40.00 ', '40.00 ']",,,20101116,20171025,,20131123,,,FCC ,,,YS ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WQHS612 ,,,,,,,,,,,,['43 '],,['9.1 '],['41.1 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCI 900, INC. ",I ,20190916,FCC ,20190916,,,,2955046
UA ,N ,FCC 2668AE ,,20071025,936.65,,M936.65 ,"['FB2C ', 'FB2C ', 'FB2C ']","['13K6F2D ', '13K6F3E ', '13K6W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['40.00 ', '40.00 ', '40.00 ']",,,20101116,20171025,,20131123,,,FCC ,,,YS ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WQHS612 ,,,,,,,,,,,,['43 '],,['9.1 '],['41.1 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCI 900, INC. ",I ,20190916,FCC ,20190916,,,,2955046
UA ,N ,FCC 2668AF ,,20071025,937.225,,M937.225 ,"['FB2C ', 'FB2C ', 'FB2C ']","['13K6F2D ', '13K6F3E ', '13K6W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['40.00 ', '40.00 ', '40.00 ']",,,20101116,20171025,,20131123,,,FCC ,,,YS ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WQHS612 ,,,,,,,,,,,,['43 '],,['9.1 '],['41.1 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCI 900, INC. ",I ,20190916,FCC ,20190916,,,,2955046
UA ,N ,FCC 2668AD ,,20071025,935.75,,M935.75 ,"['FB2C ', 'FB2C ', 'FB2C ']","['13K6F2D ', '13K6F3E ', '13K6W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['50.97 ', '50.97 ', '50.97 ']",,,20101116,20171025,,20131123,,,FCC ,,,YS ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WQHS612 ,,,,,,,,,,,,['43 '],,['9.1 '],['41.1 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCI 900, INC. ",I ,20190916,FCC ,20190916,,,,2955046
UA ,N ,FCC 2668B1 ,,20071025,938.4375,,M938.4375 ,"['FB2C ', 'FB2C ', 'FB2C ']","['13K6F2D ', '13K6F3E ', '13K6W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['40.00 ', '40.00 ', '40.00 ']",,,20101116,20171025,,20131123,,,FCC ,,,YS ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WQHS612 ,,,,,,,,,,,,['43 '],,['9.1 '],['41.1 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCI 900, INC. ",I ,20190916,FCC ,20190916,,,,2955046
UA ,N ,FCC 2668B0 ,,20071025,938.425,,M938.425 ,"['FB2C ', 'FB2C ', 'FB2C ']","['13K6F2D ', '13K6F3E ', '13K6W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['40.00 ', '40.00 ', '40.00 ']",,,20101116,20171025,,20131123,,,FCC ,,,YS ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WQHS612 ,,,,,,,,,,,,['43 '],,['9.1 '],['41.1 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCI 900, INC. ",I ,20190916,FCC ,20190916,,,,2955046
UA ,N ,FCC 2668B2 ,,20071025,939.15,,M939.15 ,"['FB2C ', 'FB2C ', 'FB2C ']","['13K6F2D ', '13K6F3E ', '13K6W7W ']","['W70.00000 ', 'W70.00000 ', 'W70.00000 ']",,"['40.00 ', '40.00 ', '40.00 ']",,,20101116,20171025,,20131123,,,FCC ,,,YS ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WQHS612 ,,,,,,,,,,,,['43 '],,['9.1 '],['41.1 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCI 900, INC. ",I ,20190916,FCC ,20190916,,,,2955046
UA ,N ,FCC 2668B3 ,,20071025,,"896.0, 901.0",M896-M901 ,"['MO ', 'MO ', 'MO ']","['13K6F2D ', '13K6F3E ', '13K6W7W ']","['W100.00000 ', 'W100.00000 ', 'W100.00000 ']",,"['50.00 ', '50.00 ', '50.00 ']",,,20101116,20171025,,20131123,,,FCC ,,,YS ,,,,,,,DE ,DOVER ,,"39.15888888888889,-75.51472222222222",390932N0753053W ,WQHS612 ,113T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCI 900, INC. ",I ,20190916,FCC ,20190916,,,,2955046
UA ,N ,FCC 0256F4 ,,20190827,,"880.02, 889.98",M880.02-M889.98 ,,,,,['51.49 '],,,20190827,20291001,,20190827,,,FCC ,,,CL ,,,,,,,DE ,Dover ,,"39.15888888888889,-75.51444444444445",390932N0753052W ,KNKN540 ,,,,,,,,,,,,"['42.4 ', '42.4 ', '42.4 ']",,"['8.5 ', '8.5 ', '8.5 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellco Partnership ,A ,20190916,FCC ,20190916,,,,13387
UA ,N ,FCC 0256F2 ,,20190827,,"835.02, 844.98",M835.02-M844.98 ,,,,,['51.49 '],,,20190827,20291001,,20190827,,,FCC ,,,CL ,,,,,,,DE ,Dover ,,"39.15888888888889,-75.51444444444445",390932N0753052W ,KNKN540 ,,,,,,,,,,,,"['42.4 ', '42.4 ', '42.4 ']",,"['8.5 ', '8.5 ', '8.5 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellco Partnership ,A ,20190916,FCC ,20190916,,,,13387
